record_id,employee_id,employee_name,department,pay_period_start,pay_period_end,payment_date,gross_pay,overtime_hours,overtime_pay,benefits_premium,deductions,net_pay,eft_reference,bank_account,payment_status
1,E1057,Employee_57,Finance,01/01/2025,01/14/2025,01/16/2025,4738.53,1.05,91.49,200,974.41,3564.12,EFT877572,XXXX003,Paid
2,E1071,Employee_71,IT,01/15/2025,01/28/2025,01/30/2025,4111.48,0.47,35.92,75,798.5,3237.98,EFT207473,XXXX999,Paid
3,E1216,Employee_216,Finance,01/29/2025,02/11/2025,02/13/2025,3456.89,0.84,53.6,200,840.58,2416.31,EFT131244,XXXX001,Paid
4,E1258,Employee_258,HR,02/12/2025,02/25/2025,02/27/2025,3931.7,1.43,102.67,50,643.98,3237.72,EFT127824,XXXX999,Paid
5,E1279,Employee_279,Payroll Ops,02/26/2025,03/11/2025,03/13/2025,3727.22,0.6,41.46,120,561.36,3045.86,EFT331148,XXXX004,Paid
6,E1003,Employee_3,Customer Service,03/12/2025,03/25/2025,03/27/2025,3406.22,0.6,37.89,50,520.97,2835.25,EFT944962,XXXX002,Paid
7,E1174,Employee_174,Benefits,03/26/2025,04/08/2025,04/10/2025,4432.04,0.39,32.17,120,920.64,3391.4,EFT263032,XXXX002,Paid
8,E1172,Employee_172,Finance,04/09/2025,04/22/2025,04/24/2025,3511.45,0.04,2.63,75,765.03,2671.42,EFT197251,XXXX004,Paid
9,E1176,Employee_176,HR,04/23/2025,05/06/2025,05/08/2025,4104.2,2.28,168.26,50,742.09,3312.11,EFT377370,XXXX001,Paid
10,E1274,Employee_274,Finance,05/07/2025,05/20/2025,05/22/2025,4173.93,0.01,0.78,50,911.51,3212.42,EFT496922,XXXX001,Paid
11,E1185,Employee_185,HR,05/21/2025,06/03/2025,06/05/2025,3314.43,0.55,33.83,75,790.4,2449.03,EFT301629,XXXX001,Paid
12,E1116,Employee_116,Customer Service,06/04/2025,06/17/2025,06/19/2025,4072.66,0.24,18.24,120,734.54,3218.12,EFT403445,XXXX001,Paid
13,E1051,Employee_51,Payroll Ops,06/18/2025,07/01/2025,07/03/2025,6720.58,0.16,20.1,50,1524.45,5146.13,EFT391476,XXXX004,Paid
